si-151-05->[og-086-03, 2002-fqm-296, og-005-00]
der2008-06390-c04-04->[otri-06-06-pc45, si-085-02, si-004-01]
2002-fqm-205->[otri-06-06-pc45, si-085-02, si-004-01]
0127-0163->[at2009-0039, og-030-02, si-016-01]
og-010-07->[2002-fqm-296, og-086-03, og-071-03]
p023-08-e03->[0613-0312, es-032-2003, 2002-cvi-210]
si-036-03->[og-005-00, si-016-08, og-086-03]
og-010-05->[og-005-00, si-016-08, si-085-06]
acc-1128-fqm-2002->[si-016-08, og-005-00, og-086-03]
og-010-01->[at2009-0039, og-030-02, si-016-01]
ffi2010-14984->[og-005-00, si-016-08, og-030-07]
p040-09-e11->[2002-fqm-296, og-086-03, og-071-03]
tra99-0528->[og-086-03, og-005-00, og-074-02]
0125-0086->[acc-511-hum-2001, pi060781, 2002-fqm-296]
si-024-01->[at2009-0039, 2002-fqm-296, si-131-07]
0143-0097->[2002-fqm-296, 0613-0312, og-029-01]
2005-hum-465->[0613-0312, 2002-cvi-210, si-085-07]
si-024-05->[og-086-03, si-085-02, si-004-01]
dpi2002-11398-e->[2002-fqm-296, og-005-00, og-086-03]
jc2008-00254->[og-005-00, si-016-08, og-030-07]
si-118-07->[si-085-02, og-086-03, si-085-06]
og-009-04->[si-085-02, 2004-hum-353, si-085-07]
og-009-03->[og-005-00, si-016-08, ren2002-10380-e]
si-118-05->[0613-0312, 2002-fqm-296, og-029-01]
og-009-06->[0613-0312, 2004-hum-353, 2002-cvi-210]
og-009-00->[si-016-08, og-005-00, og-086-03]
og-009-02->[og-005-00, si-016-08, 0613-0312]
7220-pr145->[og-005-00, og-086-03, og-074-02]
acc-491-hum-2001->[2002-fqm-296, og-086-03, og-005-00]
si-044-99->[og-030-02, at2009-0039, agf99-0574-c02-01]
0100-0068->[si-085-02, og-086-03, si-085-07]
otri-cvi-271->[0613-0312, 2002-cvi-210, og-029-01]
bfm2000-1062->[2002-fqm-296, 0613-0312, si-085-07]
ea2006-0010->[si-016-08, og-005-00, 0613-0312]
cgl2008-02531-e->[2002-fqm-296, og-086-03, og-005-00]
og-136-01->[acc-511-hum-2001, 2004-hum-353, pi060781]
2008-fqm-205->[og-086-03, 2002-fqm-296, og-071-03]
og-054-05->[at2009-0039, 2002-fqm-296, hf2000-0056]
og-054-08->[2002-fqm-296, 0613-0312, og-005-00]
ti-120-03->[at2009-0039, hf2000-0056, sej2005-24019-e]
og-136-06->[si-085-02, og-086-03, pi-0551-2007]
pi0065-2001->[acc-511-hum-2001, 2004-hum-353, pi060781]
tic2003-03781->[acc-511-hum-2001, 2002-fqm-296, pi060781]
0416-0040->[og-030-02, at2009-0039, agf99-0574-c02-01]
0908-0021->[og-086-03, og-005-00, 015-04]
og-054-00->[at2009-0039, sej2005-24019-e, og-030-02]
pi-0445-2008->[og-086-03, og-005-00, og-030-02]
sn-0170-2005->[si-016-08, og-005-00, ren2002-10380-e]
0921-0140->[otri-06-06-pc45, si-004-01, es-032-2003]
saf2009-10560->[0613-0312, 2002-cvi-210, og-029-01]
og-100-98->[at2009-0039, sej2005-24019-e, og-030-02]
otri-06-pc31->[acc-511-hum-2001, 2002-fqm-296, pi060781]
mtm2005-04914->[subcs09-001, si-085-02, otri-06-06-pc45]
ene2007-67926-c02-01->[2002-fqm-296, og-086-03, es-0063-2005]
otri-06-pc34->[si-085-02, 2004-hum-353, si-085-07]
si-052-99->[og-086-03, og-005-00, 015-04]
og-069-05->[2002-fqm-296, 0613-0312, 2004-hum-353]
0668-0335->[2002-fqm-296, es-0063-2005, og-071-03]
otri-06-pc39->[og-005-00, og-086-03, si-016-08]
si-0137-2005->[at2009-0039, 2002-fqm-296, hf2000-0056]
