p011-08-e15,0788-0369,2.0
p011-08-e15,0844-0166,2.0
otri-08-fcie44,0788-0369,3.0
otri-08-fcie44,0844-0166,3.0
p10-tep-6412,0788-0369,5.0
p10-tep-6412,0844-0166,5.0
0796-0233,jc2010-0117,2.0
ffi2010-19022,0796-0233,2.0
ffi2010-19022,jc2010-0117,5.0
agl2010-21982-c02-01,0796-0233,0.0
agl2010-21982-c02-01,jc2010-0117,0.0
0858-0365,0796-0233,2.0
0858-0365,jc2010-0117,3.0
p10-tic-6220,0796-0233,2.0
p10-tic-6220,jc2010-0117,2.0
p052-08-e26,0796-0233,2.0
p052-08-e26,jc2010-0117,2.0
0815-0378,0796-0233,3.0
0815-0378,jc2010-0117,0.0
0886-0060,0796-0233,3.0
0886-0060,jc2010-0117,0.0
p011-08-e15,0796-0233,2.0
p011-08-e15,jc2010-0117,3.0
otri-08-fcie44,0796-0233,3.0
otri-08-fcie44,jc2010-0117,3.0
p10-tep-6412,0796-0233,2.0
p10-tep-6412,jc2010-0117,0.0
0818-0354,sr-0027-2010,2.0
p011-08-e15,0818-0354,0.0
p011-08-e15,sr-0027-2010,3.0
ffi2010-19022,0818-0354,3.0
ffi2010-19022,sr-0027-2010,3.0
agl2010-21982-c02-01,0818-0354,2.0
agl2010-21982-c02-01,sr-0027-2010,5.0
0858-0365,0818-0354,0.0
0858-0365,sr-0027-2010,0.0
p10-tic-6220,0818-0354,3.0
p10-tic-6220,sr-0027-2010,3.0
p052-08-e26,0818-0354,5.0
p052-08-e26,sr-0027-2010,5.0
0815-0378,0818-0354,0.0
0815-0378,sr-0027-2010,3.0
0886-0060,0818-0354,0.0
0886-0060,sr-0027-2010,0.0
otri-08-fcie44,0818-0354,0.0
otri-08-fcie44,sr-0027-2010,0.0
p10-tep-6412,0818-0354,0.0
p10-tep-6412,sr-0027-2010,3.0
0825-0024,0801-0182,3.0
p011-08-e15,0825-0024,2.0
p011-08-e15,0801-0182,5.0
agl2010-21982-c02-01,0825-0024,3.0
agl2010-21982-c02-01,0801-0182,3.0
ffi2010-19022,0825-0024,2.0
ffi2010-19022,0801-0182,5.0
0858-0365,0825-0024,0.0
0858-0365,0801-0182,2.0
p10-tic-6220,0825-0024,2.0
p10-tic-6220,0801-0182,3.0
p052-08-e26,0825-0024,3.0
p052-08-e26,0801-0182,3.0
0815-0378,0825-0024,3.0
0815-0378,0801-0182,3.0
0886-0060,0825-0024,2.0
0886-0060,0801-0182,0.0
otri-08-fcie44,0825-0024,2.0
otri-08-fcie44,0801-0182,2.0
p10-tep-6412,0825-0024,3.0
p10-tep-6412,0801-0182,3.0
0888-0150,p10-fqm-5956,3.0
0815-0378,0888-0150,5.0
0815-0378,p10-fqm-5956,5.0
ffi2010-19022,0888-0150,3.0
ffi2010-19022,p10-fqm-5956,3.0
p011-08-e15,0888-0150,5.0
p011-08-e15,p10-fqm-5956,3.0
agl2010-21982-c02-01,0888-0150,3.0
agl2010-21982-c02-01,p10-fqm-5956,3.0
0858-0365,0888-0150,2.0
0858-0365,p10-fqm-5956,0.0
p10-tic-6220,0888-0150,3.0
p10-tic-6220,p10-fqm-5956,3.0
p052-08-e26,0888-0150,3.0
p052-08-e26,p10-fqm-5956,3.0
0886-0060,0888-0150,2.0
0886-0060,p10-fqm-5956,2.0
otri-08-fcie44,0888-0150,2.0
otri-08-fcie44,p10-fqm-5956,2.0
p10-tep-6412,0888-0150,3.0
p10-tep-6412,p10-fqm-5956,5.0
pro-072,p10-fqm-5713,3.0
0815-0378,pro-072,3.0
0815-0378,p10-fqm-5713,3.0
agl2010-21982-c02-01,pro-072,2.0
agl2010-21982-c02-01,p10-fqm-5713,2.0
ffi2010-19022,pro-072,3.0
ffi2010-19022,p10-fqm-5713,3.0
p011-08-e15,pro-072,3.0
p011-08-e15,p10-fqm-5713,2.0
0858-0365,pro-072,2.0
0858-0365,p10-fqm-5713,0.0
p10-tic-6220,pro-072,2.0
p10-tic-6220,p10-fqm-5713,3.0
p052-08-e26,pro-072,2.0
p052-08-e26,p10-fqm-5713,3.0
0886-0060,pro-072,2.0
0886-0060,p10-fqm-5713,2.0
otri-08-fcie44,pro-072,3.0
otri-08-fcie44,p10-fqm-5713,2.0
p10-tep-6412,pro-072,3.0
p10-tep-6412,p10-fqm-5713,3.0
p10-agr-5821,0874-0393,2.0
0886-0060,p10-agr-5821,2.0
0886-0060,0874-0393,3.0
ffi2010-19022,p10-agr-5821,3.0
ffi2010-19022,0874-0393,2.0
0815-0378,p10-agr-5821,2.0
0815-0378,0874-0393,5.0
agl2010-21982-c02-01,p10-agr-5821,0.0
agl2010-21982-c02-01,0874-0393,2.0
p011-08-e15,p10-agr-5821,5.0
p011-08-e15,0874-0393,3.0
0858-0365,p10-agr-5821,5.0
0858-0365,0874-0393,2.0
p10-tic-6220,p10-agr-5821,0.0
p10-tic-6220,0874-0393,2.0
p052-08-e26,p10-agr-5821,0.0
p052-08-e26,0874-0393,2.0
otri-08-fcie44,p10-agr-5821,5.0
otri-08-fcie44,0874-0393,3.0
p10-tep-6412,p10-agr-5821,0.0
p10-tep-6412,0874-0393,3.0
0854-0387,ctq2010-19823,5.0
0886-0060,0854-0387,2.0
0886-0060,ctq2010-19823,2.0
agl2010-21982-c02-01,0854-0387,0.0
agl2010-21982-c02-01,ctq2010-19823,0.0
ffi2010-19022,0854-0387,3.0
ffi2010-19022,ctq2010-19823,3.0
0815-0378,0854-0387,2.0
0815-0378,ctq2010-19823,2.0
p011-08-e15,0854-0387,2.0
p011-08-e15,ctq2010-19823,0.0
0858-0365,0854-0387,2.0
0858-0365,ctq2010-19823,0.0
p10-tic-6220,0854-0387,2.0
p10-tic-6220,ctq2010-19823,3.0
p052-08-e26,0854-0387,2.0
p052-08-e26,ctq2010-19823,3.0
otri-08-fcie44,0854-0387,3.0
otri-08-fcie44,ctq2010-19823,2.0
p10-tep-6412,0854-0387,2.0
p10-tep-6412,ctq2010-19823,2.0
0810-0376,p032-06-e03,2.0
0858-0365,0810-0376,3.0
0858-0365,p032-06-e03,2.0
ffi2010-19022,0810-0376,2.0
ffi2010-19022,p032-06-e03,3.0
0886-0060,0810-0376,3.0
0886-0060,p032-06-e03,0.0
agl2010-21982-c02-01,0810-0376,0.0
agl2010-21982-c02-01,p032-06-e03,2.0
0815-0378,0810-0376,3.0
0815-0378,p032-06-e03,0.0
p011-08-e15,0810-0376,3.0
p011-08-e15,p032-06-e03,2.0
p10-tic-6220,0810-0376,0.0
p10-tic-6220,p032-06-e03,2.0
p052-08-e26,0810-0376,0.0
p052-08-e26,p032-06-e03,3.0
otri-08-fcie44,0810-0376,5.0
otri-08-fcie44,p032-06-e03,2.0
p10-tep-6412,0810-0376,2.0
p10-tep-6412,p032-06-e03,0.0
0781-0005,psi2010-11461-e,3.0
0858-0365,0781-0005,2.0
0858-0365,psi2010-11461-e,2.0
agl2010-21982-c02-01,0781-0005,0.0
agl2010-21982-c02-01,psi2010-11461-e,0.0
ffi2010-19022,0781-0005,3.0
ffi2010-19022,psi2010-11461-e,0.0
0886-0060,0781-0005,2.0
0886-0060,psi2010-11461-e,5.0
0815-0378,0781-0005,2.0
0815-0378,psi2010-11461-e,5.0
p011-08-e15,0781-0005,2.0
p011-08-e15,psi2010-11461-e,2.0
p10-tic-6220,0781-0005,2.0
p10-tic-6220,psi2010-11461-e,0.0
p052-08-e26,0781-0005,2.0
p052-08-e26,psi2010-11461-e,0.0
otri-08-fcie44,0781-0005,3.0
otri-08-fcie44,psi2010-11461-e,5.0
p10-tep-6412,0781-0005,2.0
p10-tep-6412,psi2010-11461-e,3.0
0771-0143,es-0136-2010,3.0
0863-0011,0771-0143,3.0
0863-0011,es-0136-2010,2.0
otri-08-fcie42,0771-0143,3.0
otri-08-fcie42,es-0136-2010,2.0
0858-0365,0771-0143,2.0
0858-0365,es-0136-2010,0.0
agl2010-21982-c02-01,0771-0143,2.0
agl2010-21982-c02-01,es-0136-2010,3.0
ffi2010-19022,0771-0143,0.0
ffi2010-19022,es-0136-2010,2.0
0886-0060,0771-0143,3.0
0886-0060,es-0136-2010,2.0
0815-0378,0771-0143,3.0
0815-0378,es-0136-2010,3.0
p011-08-e15,0771-0143,2.0
p011-08-e15,es-0136-2010,2.0
p10-tic-6220,0771-0143,0.0
p10-tic-6220,es-0136-2010,2.0
p052-08-e26,0771-0143,2.0
p052-08-e26,es-0136-2010,3.0
otri-08-fcie44,0771-0143,3.0
otri-08-fcie44,es-0136-2010,2.0
